,Name,Category,Line Length (mi),Dominant Line Voltage (kV),Voltage range,States,Number of States,Region,Project Drivers (As determined by CThree),Lead Federal Agency,Year project proposed,Date of NOI Publication,Year Federal EIS Issued,Date last ROD published,Time in Days (NOI to last ROD),Time in Years (NOI to last ROD),Status of NEPA review,Energized?,NEPA Trigger
1,Southline Transmission Line Project,Interstate line,360,345,230-345,"NM,AZ",2,Non-RTO West,Generation: Renewable,BLM + DOE (WAPA),2009,4/4/2012,2015,5/16/2016,1503,4.1,Complete,Pending,Crosses Federal lands and WAPA Funding
2,TransWest Express Transmission Project,Interstate line,732,600,600,"WY, UT, NV",3,Non-RTO West,Generation: Renewable,BLM,2007,1/4/2011,2016,6/14/2017,2353,6.4,Complete,In progress,Crosses Federal lands
3,Boardman to Hemingway Transmission Line,Interstate line,290,500,500,"OR, ID",2,Non-RTO West,Generation: Renewable,BLM,2007,9/12/2008,2016,10/2/2019,4037,11.1,Complete,Pending,Crosses Federal lands
4,Big Eddy-Knight Transmission Project,Interstate line,28,500,500,"OR, WA",2,Non-RTO West,Load growth/system capacity,BPA (DOE),2008,6/3/2009,2011,9/16/2011,835,2.3,Complete,Project complete (2015),BPA Owned
5,Susquehanna to Roseland Transmission Line,Interstate line,146,500,500,"PA,NJ",2,PJM,Reliability,DOI (NPS),2009,1/21/2010,2012,10/1/2012,984,2.7,Complete,Project complete  (2015),Crosses Federal lands
6,Hampton-Rochester-La Crosse Transmission System Improvement Project,Interstate line,141,345,161-345,"MN, WI",2,MISO,Reliability,USDA (RUS),2009,5/28/2009,2012,2/8/2013,1352,3.7,Complete,Project complete  (2016),RUS Funding
7,Southwest Intertie Project-South,Intertie financing (Single state),235,500,500,NV,1,Non-RTO West,Generation: Renewable,DOE / BLM,1992,Not published,2010,10/26/2010,NA,NA,Complete,Project complete (2014),WAPA Funding
8,Sun Valley to Morgan Transmission Line Project,Single state line,38,500,230-500,AZ,1,Non-RTO West,Generation: Renewable,BLM,2007,4/11/2011,2013,1/15/2014,1010,2.8,Complete,Project complete (2018),Crosses Federal lands
9,Antelope Valley Station-Neset Transmission Project,Single state line,190,345,115-345,ND,1,MISO/SPP,Reliability,USDA(RUS),2011,11/2/2011,2014,12/8/2014,1132,3.1,Complete,Project complete (2017),RUS Funding
10,Central Ferry-Lower Monumental Transmission Line Project,Single state line,38,500,500,WA,1,Non-RTO West,Generation: Renewable,DOE (BPA),2009,6/19/2009,2011,3/11/2011,630,1.7,Complete,Project Complete (2015),BPA Owned
11,Vantage to Pomona Heights Transmission Line Project,Single state line,60,230,230,WA,1,Non-RTO West,Reliability,BLM,2008,1/5/2010,2016,10/16/2017,2841,7.8,Complete,Unknown,Crosses Federal lands
12,City of Tallahassee Southwestern Transmission Line,Single state line,8,230,230,FL,1,Non-RTO South,Reliability,USDA (NFS),2010,10/14/2010,2012,3/16/2012,519,1.4,Complete,Unknown,Crosses Federal lands
13,Tropic to Hatch Transmission Line Project,Single state line,30,138,138,UT,1,Non-RTO West,Load growth/system capacity,USDA (NFS),2008,2/21/2008,2011,9/14/2011,1301,3.6,Complete,Project complete (2019),Crosses Federal lands
14,Barren Ridge Renewable Transmission Project,Single state line,62,230,230,CA,1,CAISO,Generation: Renewable,BLM,2008,4/7/2008,2012,6/14/2013,1894,5.2,Complete,Project complete (2016),Crosses Federal lands
15,Hooper Springs Transmission Project,Single state line,24,115,115,ID,1,Non-RTO West,Storm/Fire hardening,DOE (BPA),2006,7/8/2010,2015,3/16/2015,1712,4.7,Complete,Project Complete (2019),BPA Owned
16,Bemidji - Grand Rapids Transmission Line Project,Single state line,68,230,230,MN,1,MISO,Generation: Renewable,USDA (RUS),2008,7/18/2008,2010,12/2/2010,867,2.4,Complete,Project complete (2012),RUS Funding
