,Name,Category,Line Length (mi),Dominant Line Voltage (kV),Voltage range,States,Number of States,Region,Project Drivers (As determined by CThree),Lead Federal Agency,Year project proposed,Date of NOI Publication,Year Federal EIS Issued,Date last ROD published,Time in Days (NOI to last ROD),Time in Years (NOI to last ROD),Status of NEPA review,Energized?,NEPA Trigger
1,https://www.energy.gov/nepa/eis-0474-southline-transmission-line-project-arizona-and-new-mexico,https://eplanning.blm.gov/public_projects/nepa/83613/112774/137893/SLT_ROD_042216_508.pdf,,,https://eplanning.blm.gov/public_projects/nepa/83613/112774/137893/SLT_ROD_042216_508.pdf,,,,,,,,,,,,https://eplanning.blm.gov/public_projects/nepa/83613/112774/137893/SLT_ROD_042216_508.pdf,https://southlinetransmission.com/,
2,https://www.energy.gov/nepa/doe-environmental-impact-statements,https://www.energy.gov/sites/default/files/2017/01/f34/EIS-0450_TransWest_ROD_%28signed_2017-01-12%29.pdf,,,,,,,,https://www.permits.performance.gov/permitting-project/fast-41-covered-projects/transwest-express,,,,,,,https://www.permits.performance.gov/permitting-project/fast-41-covered-projects/transwest-express,,
3,https://www.idahopower.com/energy-environment/energy/planning-and-electrical-projects/current-projects/boardman-to-hemingway/b2h-history/,https://ipc.maps.arcgis.com/apps/webappviewer/index.html?id=a8fe06e348024dfbb74f2c0094dc9f37,,,,,,,,https://www.blm.gov/sites/default/files/Boardman%20to%20Hemingway%20Final%20Environmental%20Impact%20Statement%20%28FEIS%29%20Protest%20Report%20%28November%2017%2C%202017%29_0.pdf,,,,,,,,https://www.pacificorp.com/transmission/transmission-projects/energy-gateway%20.html,
4,https://www.energy.gov/nepa/eis-0421-big-eddy-knight-transmission-line,https://www.bpa.gov/learn-and-participate/public-involvement-decisions/project-reviews/big-eddy-knight,,,,,,,,https://www.energy.gov/sites/default/files/2017/08/f36/EIS-0421-FEIS_Vol1-2011.pdf,,,,,,,https://www.kuow.org/stories/as-washington-transitions-off-of-fossil-fuels-where-will-new-power-come-from,,
5,https://parkplanning.nps.gov/projectHome.cfm?projectID=25147,https://parkplanning.nps.gov/document.cfm?documentID=49285&parkID=220,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2010-01-21/pdf/2010-1094.pdf,,,,,,,https://www.lehighvalleylive.com/breaking-news/2015/05/susquehanna-roseland_power_lin_4.html,,
6,https://www.rd.usda.gov/resources/environmental-studies/impact-statement/capx-2020-hampton-rochester-lacrosse-345kv-transmission-line-project-minnesota-wisconsin,https://www.rd.usda.gov/sites/default/files/UWP_WI64-Dairyland_CapXHRLC_FEIS-Cover-TOC.pdf,,,https://www.rd.usda.gov/sites/default/files/UWP_WI64-Dairyland_CapXHRLC_FEIS-Cover-TOC.pdf,,,,,https://www.rd.usda.gov/sites/default/files/UWP_WI64-Dairyland_CapXHRLC_NOI05282009.pdf,,,,,,,https://www.startribune.com/another-leg-of-2-1-billion-capx2020-electric-line-upgrade-completed/394878381/,,
7,https://www.energy.gov/nepa/eis-0443-project-financing-southwest-intertie-project-south-clark-lincoln-nye-and-white-pine,,,,,,,,,https://www.energy.gov/sites/default/files/nepapub/nepa_documents/RedDont/EIS-0443-FEIS-2010.pdf,,,,,,,https://lspower.com/wp-content/uploads/2017/05/2014-ms-js-on-line-dedication-final.pdf,https://www.lspower.com/wp-content/uploads/2017/05/2014-ms-js-on-line-dedication-final.pdf,
8,https://eplanning.blm.gov/public_projects/lup/74804/99555/120625/Chapter_1_Introduction.pdf,https://eplanning.blm.gov/public_projects/lup/74804/99555/120625/Chapter_1_Introduction.pdf,,,https://eplanning.blm.gov/public_projects/lup/74804/99555/120625/Chapter_1_Introduction.pdf,,,,,https://eplanning.blm.gov/public_projects/lup/74804/99555/120625/Chapter_1_Introduction.pdf,,,,,,,https://www.power-technology.com/marketdata/morgan-sun-valley-line-us/,,
9,https://www.energy.gov/nepa/eis-0478-antelope-valley-station-neset-transmission-project-mercer-dunn-billings-williams,https://www.energy.gov/nepa/eis-0478-antelope-valley-station-neset-transmission-project-mercer-dunn-billings-williams,,,https://www.energy.gov/sites/default/files/2014/05/f16/EIS-0478_%28RUS-Western%29_Basin%20AVS%20Neset%20FEIS_05-2014.pdf,,,,,https://www.energy.gov/nepa/eis-0478-antelope-valley-station-neset-transmission-project-mercer-dunn-billings-williams,,,,,,,https://www.power-technology.com/marketdata/antelope-valley-station-neset-line-us/?cf-view,https://www.power-technology.com/marketdata/antelope-valley-station-neset-line-us/?cf-view,
10,https://www.energy.gov/nepa/eis-0422-central-ferry-lower-monumental-500-kv-transmission-line-project-garfield-columbia-and,https://k2-env.com/portfolio-items/central-ferry-lower-monumental-500kv-transmission-line-project/,,,,,,,,,,,,,,#ERROR!,https://www.bpa.gov/learn-and-participate/public-involvement-decisions/project-reviews/central-ferry-trans-line-project,,
